web-scraper-order,web-scraper-start-url,properties,properties-href,address,bed,bath,sqft,price
"1656272875-160","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/3314-Keenland-Rd_Marietta_GA_30062_M57151-27634","3314 Keenland Rd, Marietta, GA 30062","5","4.5","4,642","$775,000"
"1656273391-245","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1090-Soaring-Dr_Marietta_GA_30062_M65124-95113","1090 Soaring Dr, Marietta, GA 30062","3","2","1,712","$450,000"
"1656273072-187","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/4433-Waterbury-Ln_Marietta_GA_30062_M57879-87107","4433 Waterbury Ln, Marietta, GA 30062","5","4.5","5,319","$939,000"
"1656272483-105","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2100-Shadow-Woods-Pl-NE_Marietta_GA_30062_M68216-76117","2100 Shadow Woods Pl NENE, Marietta, GA 30062","4","2.5","2,473","$489,000"
"1656273227-213","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2245-Mainsail-Ct_Marietta_GA_30062_M55313-05593","2245 Mainsail Ct, Marietta, GA 30062","4","2.5","2,025","$425,000"
"1656272984-175","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/3859-W-Clinton-Ct_Marietta_GA_30062_M69669-38761","3859 W Clinton Ct, Marietta, GA 30062","3","2.5","null","$449,000"
"1656273217-211","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2961-Prince-Howard-Dr_Marietta_GA_30062_M54444-38681","2961 Prince Howard Dr, Marietta, GA 30062","4","2.5","2,508","$495,000"
"1656272439-99","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2180-Winslow-Cottage-Cir-NE_Marietta_GA_30062_M57944-32217","2180 Winslow Cottage Cir NE, Marietta, GA 30062","2","3","2,922","$585,000"
"1656271964-35","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/2077-Kinridge-Ct_Marietta_GA_30062_M67643-98364","2077 Kinridge Ct, Marietta, GA 30062","null","null","null","$535,000"
"1656272049-47","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/2650-Roswell-Rd_Marietta_GA_30062_M54133-80067","2650 Roswell Rd, Marietta, GA 30062","null","null","null","$270,000"
"1656272573-118","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2330-Willeo-Rill-Rd_Marietta_GA_30062_M55855-47135","2330 Willeo Rill Rd, Marietta, GA 30062","4","2.5","3,837","$510,000"
"1656273038-182","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/3765-Cochran-Lake-Dr_Marietta_GA_30062_M56952-61218","3765 Cochran Lake Dr, Marietta, GA 30062","4","3","2,876","$925,000"
"1656273359-238","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1300-Spindlewood-Dr_Marietta_GA_30062_M60339-11297","1300 Spindlewood Dr, Marietta, GA 30062","5","5","8,478","$2,850,000"
"1656272093-52","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/4290-Freeman-Rd_Marietta_GA_30062_M57329-55611","4290 Freeman Rd, Marietta, GA 30062","null","null","null","$385,000"
"1656273302-228","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2598-Stoney-Brook-Ln-NE_Marietta_GA_30062_M54662-76523","2598 Stoney Brook Ln NE, Marietta, GA 30062","null","null","null","$450,000"
"1656273341-234","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2546-Telfair-Pl-NE_Marietta_GA_30062_M50493-07892","2546 Telfair Pl NE, Marietta, GA 30062","5","4.5","null","$605,900"
"1656273351-236","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/5108-Nicolet-Ct_Marietta_GA_30062_M55759-69788","5108 Nicolet Ct, Marietta, GA 30062","4","2.5","2,562","$499,000"
"1656272369-90","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/3832-Wesley-Chapel-Rd_Marietta_GA_30062_M55877-11708","3832 Wesley Chapel Rd, Marietta, GA 30062","5","6.5+","8,637","$2,000,000"
"1656272181-64","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/4322-Vienna-Way_Marietta_GA_30062_M52020-23724","4322 Vienna Way, Marietta, GA 30062","4","2.5","2,808","$600,000"
"1656271911-28","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/4261-Biltmore-Pl-NE-7_Marietta_GA_30062_M90780-47807","4261 Biltmore Pl NE Unit 7, Marietta, GA 30062","5","5.5","null","$1,695,000"
"1656271998-40","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/Roswell-Rd_Marietta_GA_30062_M99703-86274","Roswell Rd, Marietta, GA 30062","null","null","null","$239,900"
"1656272970-173","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2018-Renford-Pointe_Marietta_GA_30062_M67739-01179","2018 Renford Pointe, Marietta, GA 30062","4","2.5","2,908","$525,000"
"1656272671-132","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/1646-Wildwood-Rd_Marietta_GA_30062_M56794-29490","1646 Wildwood Rd, Marietta, GA 30062","3","1.5","1,700","$339,900"
"1656273252-218","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/1251-Carolyn-St_Marietta_GA_30062_M57387-94137","1251 Carolyn St, Marietta, GA 30062","3","2","1,312","$259,000"
"1656273265-220","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1604-Glen-Ivy_Marietta_GA_30062_M61532-17831","1604 Glen Ivy, Marietta, GA 30062","3","2.5","1,873","$429,900"
